2,1,2100000
2,2,2130000
2,3,2350000
2,4,2660000
2,5,3020000
2,6,3280000
2,7,4100000
2,8,4630000
2,9,5800000
3,1,2290839
3,2,2360003
3,3,2625512
3,4,2908712
3,5,3278681
3,6,3528712
3,7,4450511
3,8,5010383
5,1,2316733
5,2,2466493
5,3,2710444
5,4,3024588
5,5,3397535
5,6,3644588
5,7,4570094
5,8,5153706
6,1,2268440
6,2,2321875
6,3,2551844
6,4,2884242
6,5,3244242
6,6,3504242
6,7,4342815
6,8,4885315
7,1,2223000
7,2,2292000
7,3,2512000
7,4,2857000
7,5,3229000
7,6,3477000
7,7,4393000
7,8,4976000
8,1,2278440
8,2,2331874
8,3,2561843
8,4,2894242
8,5,3254242
8,6,3514242
8,7,4352815
8,8,4895314
9,4,2990000
9,5,3350000
9,6,3610000
10,1,4095000
10,2,4078410
10,3,4298410
10,4,4550000
10,5,4910000
10,6,5170000
14,1,2480000
14,2,2530000
14,3,2750000
14,4,3060000
14,5,3420000
14,6,3680000
16,10,6500000
14,9,6640000
