2,1,1995000
2,2,2023500
2,3,2232500
2,4,2527000
2,5,2869000
2,6,3116000
2,7,3895000
2,8,4398500
2,9,5510000
2,10,6175000
3,1,190839
3,2,230003
3,3,275512
3,4,248712
3,5,258681
3,6,248712
3,7,350511
3,8,380383
5,1,216733
5,2,336493
5,3,360444
5,4,364588
5,5,377535
5,6,364588
5,7,470094
5,8,523706
6,1,168440
6,2,191875
6,3,201844
6,4,224242
6,5,224242
6,6,224242
6,7,242815
6,8,255315
7,1,123000
7,2,162000
7,3,162000
7,4,197000
7,5,209000
7,6,197000
7,7,293000
7,8,346000
8,1,178440
8,2,201874
8,3,211843
8,4,234242
8,5,234242
8,6,234242
8,7,252815
8,8,265314
9,4,330000
9,5,330000
9,6,330000
10,1,1995000
10,2,1948410
10,3,1948410
10,4,1890000
10,5,1890000
10,6,1890000
16,5,360000
14,1,380000
14,2,400000
14,3,400000
14,4,400000
14,5,400000
14,6,400000
